session,equity,daily_return,running_peak,drawdown_pct
2020-04-14,99996.63579871414,0.0,107202.67296251505,-0.06721881987327502
2020-04-15,99996.63579871414,0.0,107202.67296251505,-0.06721881987327502
2020-04-16,99996.63579871414,0.0,107202.67296251505,-0.06721881987327502
2020-04-17,99996.63579871414,0.0,107202.67296251505,-0.06721881987327502
2020-04-20,99996.63579871414,0.0,107202.67296251505,-0.06721881987327502
2020-04-21,99996.63579871414,0.0,107202.67296251505,-0.06721881987327502
2020-04-22,99996.63579871414,0.0,107202.67296251505,-0.06721881987327502
2020-04-23,99599.39990286078,-0.0039724926011808215,107202.67296251505,-0.07092428620984909
2020-04-24,100792.08168131346,0.011974788800092284,107202.67296251505,-0.059798800757917145
2020-04-27,102832.22766112245,0.020241133487644003,107202.67296251505,-0.04076806277881508
2020-04-28,102503.73610132937,-0.0031944417354801136,107202.67296251505,-0.043832273313079866
2020-04-29,106283.11130927583,0.036870609323063075,107202.67296251505,-0.008577786615085185
2020-04-30,104549.12443047363,-0.016314792232196007,107202.67296251505,-0.02475263404084399
2020-05-01,103110.17992280451,-0.01376333389215556,107202.67296251505,-0.038175289165985005
2020-05-04,103076.78192442934,-0.00032390592665243467,107202.67296251505,-0.03848682989022475
2020-05-05,103099.05773207368,0.0002161088775616271,107202.67296251505,-0.0382790383582717
2020-05-06,102862.84650853417,-0.002291109431410754,107202.67296251505,-0.04048244632387437
2020-05-07,103677.4908745133,0.007919714392810917,107202.67296251505,-0.03288334134387095
2020-05-08,104691.64555548436,0.00978182122673621,107202.67296251505,-0.0234231790834983
2020-05-11,105147.92616045174,0.0043583287142578975,107202.67296251505,-0.01916693628321918
2020-05-12,102983.86110708387,-0.02058114822032342,107202.67296251505,-0.039353606946968094
2020-05-13,102641.9118229463,-0.0033204162328114295,107202.67296251505,-0.04254335282445315
2020-05-14,102641.9118229463,0.0,107202.67296251505,-0.04254335282445315
2020-05-15,103300.64077330672,0.006417738511113269,107202.67296251505,-0.036398646427153285
2020-05-18,103926.53901383313,0.006058996690058827,107202.67296251505,-0.0305601890153193
2020-05-19,102831.04938095795,-0.010540999856921585,107202.67296251505,-0.04077905392420298
2020-05-20,104042.02595494827,0.011776370865418384,107202.67296251505,-0.029482912321336804
2020-05-21,103541.79043835035,-0.004808013992485427,107202.67296251505,-0.034149172058842034
2020-05-22,103630.56341309103,0.000857363721110671,107202.67296251505,-0.03332108659896058
2020-05-26,104407.88492090185,0.007500890492240897,107202.67296251505,-0.026070133928380996
2020-05-27,105172.73824171523,0.007325627958011172,107202.67296251505,-0.018935486072344646
2020-05-28,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-05-29,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-06-01,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-06-02,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-06-03,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-06-04,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-06-05,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-06-08,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-06-09,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-06-10,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-06-11,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-06-12,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-06-15,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-06-16,105172.73824171523,0.0,107202.67296251505,-0.018935486072344646
2020-06-17,105047.20869444002,-0.0011935559478037927,107202.67296251505,-0.020106441458122175
2020-06-18,105139.28714700606,0.0008765435437116942,107202.67296251505,-0.019247522085857657
