session,cash,position_value,equity,open_positions,exposure_pct,daily_return,running_peak,drawdown_pct,benchmark_equity
2021-11-02,122481.5484906009,40437.51,162919.0584906009,1,0.24820613606929798,0.0005169654117120892,162919.0584906009,0.0,222378.55602341582
2021-11-03,122481.5484906009,41160.36,163641.90849060088,1,0.25152701028516866,0.004436865807456725,163641.90849060088,0.0,223739.3447673821
2021-11-04,122481.5484906009,41145.72,163627.2684906009,1,0.2514600431795603,-8.946363517159384e-05,163641.90849060088,-8.946363517158409e-05,224792.030399507
2021-11-05,122481.5484906009,41707.53,164189.0784906009,1,0.2540213416350197,0.00343347417079376,164189.0784906009,0.0,225572.5582828386
2021-11-08,122481.5484906009,41837.46,164319.00849060089,1,0.2546112003979936,0.0007913437434112769,164319.00849060089,0.0,225767.69025367155
2021-11-09,122481.5484906009,41594.07,164075.6184906009,1,0.2535054896189998,-0.0014812041664303832,164319.00849060089,-0.001481204166430367,225017.97268152406
2021-11-10,122481.5484906009,40938.93,163420.4784906009,1,0.25051285113177907,-0.003992915010937792,164319.00849060089,-0.005468204855017702,223210.43442538768
2021-11-11,122481.5484906009,41268.33,163749.8784906009,1,0.25202052288770865,0.002015659255452329,164319.00849060089,-0.0034635676372921274,223282.325151484
2021-11-12,163768.5691956009,0.0,163768.5691956009,0,0.0,0.00011414179462154728,164319.00849060089,-0.00334982118049644,224966.62216288384
2021-11-15,84251.8211756009,79243.29999999999,163495.12117560089,2,0.48468296442246267,-0.0016697222265733558,164319.00849060089,-0.00501395013618967,225043.64794084418
2021-11-16,84251.8211756009,79682.92000000001,163934.7411756009,2,0.4860648781861715,0.0026888875755983754,164319.00849060089,-0.002338544508817163,225932.0119133203
2021-11-17,44351.68137560089,119312.72,163664.4013756009,3,0.7290083793248588,-0.0016490696118550696,164319.00849060089,-0.003983757697986812,225387.69641573378
2021-11-18,44351.68137560089,119807.62,164159.3013756009,3,0.7298253525450681,0.0030238707736096604,164319.00849060089,-0.0009719332928492734,226152.81914347335
2021-11-19,44351.68137560089,119658.6,164010.2813756009,3,0.7295798714348227,-0.0009077767677569959,164319.00849060089,-0.001878827762143211,225747.15004621545
2021-11-22,44351.68137560089,119106.2,163457.88137560087,3,0.7286659963878549,-0.0033680815334677927,164319.00849060089,-0.0052405812505207944,225110.40361507647
2021-11-23,44351.68137560089,119176.95999999999,163528.64137560088,3,0.7287834045307592,0.0004328943909250871,164319.00849060089,-0.004809955477824163,225408.23662318985
2021-11-24,44351.68137560089,119412.42,163764.1013756009,3,0.7291733597103911,0.0014398700925986052,164319.00849060089,-0.0033770110962647445,226009.03769128065
2021-11-26,121794.0063176009,39457.6,161251.6063176009,1,0.24469585699682503,-0.015342160075958677,164319.00849060089,-0.01866736052740628,220971.55181267328
2021-11-29,121794.0063176009,40313.52,162107.5263176009,1,0.24868382681392467,0.005307978131480873,164319.00849060089,-0.013458468337377379,223682.85919687786
2021-11-30,161495.3854376009,0.0,161495.3854376009,0,0.0,-0.0037761410213655866,164319.00849060089,-0.01718378828436943,219328.33521618566
2021-12-01,161495.3854376009,0.0,161495.3854376009,0,0.0,0.0,164319.00849060089,-0.01718378828436943,216894.32063263835
